SampleID	observed_features
F346	99
F347	124
F348	243
F349	131
F350	1037
F351	453
F352	1817
F353	1196
F354	917
F355	1426
F356	1323
F357	1261
F358	815
F359	694
F360	977
F361	959
F362	327
F363	1231
F364	1189
F365	674
F366	1680
F367	969
F368	1018
F369	1209
