"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"02c8d24216011d45f0c46dbd36054b8c",44.954279486283,-6.16965484921469,0.983799016587373,-6.2712553531677,3.58148692723051e-10,9.48905536404126e-08,"Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup_17","Subgroup_17","Subgroup_17",NA
"45091689c6f4b4c4ad4c740b67cecdba",14.3555325201114,4.48168186550784,0.986388775033166,4.54352480375412,5.53212924574122e-06,0.000219328952542549,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured_bacterium"
"2e79e050387f0ac3fe41e51c8d2f2366",4.2027626194935,-2.54192505121896,0.845700421849654,-3.00570389412772,0.00264966885156771,0.0351011394705049,"Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured","metagenome"
"8a70d26dfab03c965b4b815a96692f4d",10.4070272947978,-3.9906388500035,0.945748878867822,-4.21955440727647,2.4478564610916e-05,0.000765373256219573,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"5b414d076f8e7f22af4eb21c46c5cbfa",5.33119485935287,-2.93651672335126,0.88490768617516,-3.3184441374261,0.000905204267331367,0.0152912694018326,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84","uncultured_bacterium"
"1ec6303ffb7e3034d435522c72037c24",31.6162355794751,-5.65338763588872,0.955766206428648,-5.91503193758376,3.31811192395646e-09,4.42946118264849e-07,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"fe7d9417b9682f495aa993775eb2e035",4.15317125650481,2.52442254189765,0.867451502812633,2.91015985759715,0.00361243936666216,0.0453491764882227,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured_bacterium"
"b5c1b902c35f09fe9d827a89643afed5",4.30434036286074,-2.58224782615044,0.849738675583095,-3.0388728915728,0.0023746502272125,0.0325721777759884,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales",NA,NA,NA
"55ef132c610679e764b9c96ebae509b4",36.3242297636606,5.85951620780779,0.926735856586161,6.32274683898886,2.56954092218113e-10,7.60886411897635e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus",NA
"16234467e1c8ca0e0d6d57423e11aa3e",4.61365081443238,-2.69835599041937,0.86134259390287,-3.13273256137576,0.00173187165653621,0.0253858507311863,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b","uncultured_soil"
"a7dc05385b66535d96b8bf2406d4e1e2",65.4233273859589,6.71939468538507,0.939275903195149,7.15380290554416,8.44062335374273e-13,1.41633659875803e-09,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Burkholderia_glumae"
"ebac15512abe2d622b0af4ba8be27bf2",12.7078557253624,-4.29515773548958,0.971525893417806,-4.42104298463864,9.8225629639054e-06,0.000363579279119851,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA,NA
