"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"d6a1eff3b636f60abbbf95162a46e327",72.1106824033733,6.56364886431591,1.29914596895344,5.05227974467213,4.36567656408374e-07,8.1076850475841e-06,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"e87074ecced0424883ef4a71f1f7ad58",48.7176151116585,5.99054059369104,1.45341118832943,4.12171080131607,3.76069124454446e-05,0.000155203130727232,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter",NA
"b2b13dd0a1e72e2aff0255bc6f7111f3",77.6318011320483,-6.67839057677939,1.51331793981062,-4.41307831030877,1.01911112746083e-05,7.79320273940638e-05,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45","metagenome"
"10e670c4d5fe095e177fc163a23b5767",33.6116549335945,5.44483598197279,1.33079179255581,4.09142588076522,4.28728974913721e-05,0.00016637243802622,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"edcdc09d8ece8d0ac7e88a7f173b3b16",21.3696706596227,-4.77972692641085,1.35796597642501,-3.51976927948812,0.000431922343131846,0.000802141494387715,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured","uncultured_bacterium"
"cc0528b05ac0826d74547a34022d86c7",21.1125633514602,4.7542516632355,1.3620324186827,3.49055690453652,0.000482014950742781,0.000860003246273488,"Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia","metagenome"
"a5b1cd2ee267fe5430a3d78800a0ca60",29.487443971731,5.25133516103129,1.40087353235707,3.74861473197766,0.000177813990858155,0.000420287614755638,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus_Xiphinematobacter","metagenome"
"bdb920a1725a8835d1390d1236003248",25.6106954684399,5.04224395925131,1.38577222494839,3.63858061842673,0.000274144812330392,0.000598971858873125,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera",NA
"e4fecb3c126d83c8288aa68c8bb625c1",17.0000285234071,4.42869336707785,1.32244351448345,3.34887147811959,0.000811414253713879,0.00127088979497355,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus",NA
"4a1169090d3a4faeb641697bb7a68970",103.897135273765,-7.10235396310461,1.54997315522817,-4.58224320798581,4.60014432015901e-06,5.43653419655156e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Burkholderia_glumae"
"cdf1275447c7c0d03d75fb6247e909ac",16.0200265443638,4.33888643583248,1.32043863144592,3.28594327104871,0.00101641477874258,0.00157302287186352,"Bacteria","Dependentiae","Babeliae","Babeliales",NA,NA,NA
"147a166fa80388bf5fd61784f2adb653",33.7887691867415,5.45256546741441,1.41495761024032,3.85351859868673,0.000116432414558024,0.000315337789427981,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"7a42d5011ad200f1b31e8606186871f7",41.1114834282975,5.74144285345153,1.27291349975956,4.51047369246696,6.46830231452363e-06,6.72703440710457e-05,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"7302e79d74a8921dba7e05608c087a6e",26.9899812384888,3.84563170842893,1.3619905417783,2.82353774895369,0.00474968323488874,0.00705667223469185,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured_Flexibacter"
"eebcb893d735760d8c8c55a03ae354e2",25.8854959215424,5.05808702543051,1.38726177582701,3.64609413563288,0.000266256472580111,0.000586666803990075,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"7fbc4b7079ee0cae7ecc9b9edfd67deb",38.4907401726759,5.64456778485809,1.43688664702167,3.92833199233772,8.55370755858008e-05,0.000271215117711076,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured",NA
"5e7d72e6739c6de87c8c8ea33a682d8b",23.391371557915,4.9072922805804,1.31659409487116,3.72726286689036,0.000193570541403276,0.000447120236042803,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Paraburkholderia_caledonica"
"310ddf474d4683d176c29f09b9202cd5",25.8827819768593,5.05793663175994,1.30833320405427,3.86593920882415,0.000110662502423611,0.000306087772661052,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured_Comamonadaceae"
"beac5d15885b3e981c586e10b39786fd",33.4936662409665,5.43963859981147,1.41384029191756,3.84742083735201,0.000119367828651913,0.000316791182228769,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",NA
"6798690f9471fbef13738a9e2ccdddb0",43.783365837317,5.83391070753685,1.34802532835581,4.32774561784568,1.50643311333176e-05,9.11860910857514e-05,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"ab10e45ab0a309d4fc20927e0c54876d",51.0120316810548,6.05794904040224,1.36592727078714,4.43504509351456,9.20530183796849e-06,7.72057573507035e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobium_tibeticum"
"b0a821ca73e2568bca17969998687df3",14.1333616842872,4.14859586356962,1.29780959027467,3.19661365939791,0.00139051031592865,0.00210193419849679,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","A21b","A21b",NA
"920fa8c0cb0dfef7abacc9f851171410",22.9291484697726,-4.88498673050389,1.36833404409609,-3.57002498884026,0.000356947175472948,0.000725048950179426,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",NA
"4560e0a29da559d39744b63ed2c9d486",21.3838423594422,4.77332364292095,1.35705114673005,3.51742353589453,0.000435757877038383,0.000803525163333188,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"b6e3cde17a27176eb1a22d4674906382",21.5170504509598,4.78260221607643,1.27328144366386,3.75612339273123,0.000172565634330778,0.000415435786351874,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"152d8aa3a6549ce8e8dc4fe72cd7ce8c",71.990884545991,6.56121035992049,1.30246223102428,5.03754366432615,4.71544012947666e-07,8.17342955775954e-06,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"de74f76d924703d977daa4acea394dab",37.0210816918917,-5.59451956843336,1.42279779654782,-3.93205526604519,8.42226962062634e-05,0.000270344456958376,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus",NA
"c73481d95fad2ec4c4e7257dc9e75ce3",23.9921137217217,3.1824582145937,1.35762637404381,2.34413405296073,0.0190713154367893,0.0277013520310907,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured_Flexibacter"
"7e622f528f870c4f6c7440293b0f902b",21.7404941126862,4.79807277520367,1.36014059673327,3.52763000143331,0.000419297807487849,0.000801598749609124,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3","KF-JG30-B3",NA
"198b1bc81a69854f9f8aa9108f5bd64c",39.4214506335828,5.67970131855544,1.42957277862334,3.97300606410884,7.09712416232159e-05,0.000239643153532937,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Frankia",NA
"2f8700e90e6d8461705ba7bcc758ae68",43.3474971332537,-5.82652765124885,1.44187102383508,-4.04094926309808,5.32352760611481e-05,0.000196136749680443,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"6c2f27f69613b6a71bf3e0e006dba834",18.1144621574628,4.52442775125614,1.33608815089016,3.38632428424859,0.000708356239076449,0.00111619771005986,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum",NA
"cf751b08638adb787093b39287a26315",29.0199536731208,5.22765128284013,1.39974334045839,3.73472131049981,0.000187923173089702,0.000440180405435338,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02",NA
"d66c096e72734dd1c322a86a905b49b7",41.3798145644689,5.75099378554248,1.34639109428639,4.27141401183332,1.94237422386506e-05,0.000103509432239621,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
