OTUID	F346	F347	F348	F350	F351	F352	F353	F354	F355	F356	F357	F358	F359	F360	F361	F362	F363	F364	F365	F366	F367	F368	F369	taxonomy
b0f6b9cedbdd8fe4c3b67b9e1bb80656	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales
37189598bda7eee9f7beefacc94d4ef5	0	0	0	0	0	67	0	30	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__unidentified; g__unidentified; s__unidentified
b82f50a78ad8cacdb4181c8a09fdec12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Gomphales; f__Gomphaceae
c396f0be43af9534353b48f2f8183801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales
ba99253981033471910287797244c363	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
18be43d1e18dfb8b992faeb8c43a7e3d	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiales; f__Cystobasidiaceae; g__Cystobasidium
6e70197cbf21f07932806d7cc6322dd5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	k__Fungi; p__Ascomycota
8355122755d0e2496ed07820d46278b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cuniculitremaceae; g__Kockovaella
941b1ff5318fbef88a3efd0819146fac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetales_fam_Incertae_sedis; g__Candida
4cb29f260a3b84d50a141fc5ee89433d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae
3e9e3f1abb547723b3d5145400b2c5ca	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__unidentified; s__unidentified
5307efa2bbfc92b5e98d2037831a8d4d	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae
b3857d94556c7d180cd0fb5fd3206a9e	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolaceae; g__Rhodotorula
24938e16a151a5607d982aaa75f59cad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	k__Fungi; p__Ascomycota
c22b667722bb63cbee63cf0bfd6276ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1762	51	16	247	211	106	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
42cb0527da7563b1fde599fed81582ec	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota
4efd1afe3dcf83934773e6f491b9c2e4	0	0	0	0	0	17	0	41	24	0	52	0	0	0	0	0	0	204	0	43	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
ce692387a6789cf92253c68c89a29b21	0	0	0	0	0	0	0	0	0	0	0	231	170	118	176	302	52	214	1297	312	1420	565	814	k__Fungi; p__Ascomycota; c__Dothideomycetes
f578c44da3ec3686acfd5c8c8b681146	0	0	0	0	0	11	423	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae
5801c62e71da926692303f53b786ee55	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Myxotrichaceae; g__Oidiodendron
0cc42437960419ea1026363cfccb5176	0	0	0	0	0	0	0	5	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__unidentified; g__unidentified; s__unidentified
f40e4d71d029bb4110f9dbad560121ec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
40ed5b9c7cdff9ca0106f09e0efecde8	0	0	0	0	0	185	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
fa9fb40d804d83af4bb5029f8bd2dd3a	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes
f06776006017ea843a3d0a249d91dcbd	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
31ca2e01474f54ca76afd8061a0c1cdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	29	0	0	86	81	k__Fungi; p__Ascomycota; c__Leotiomycetes
0530dc8c50670757ba212f0902eaac84	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae; g__Claroideoglomus; s__unidentified
4069383c4a141f21ef84b68b6877e36d	0	0	0	0	0	94	24	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae
7754e90259ecee0dcf06d6aba5438c03	0	0	0	0	0	0	0	0	14	56	37	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae
b9c9632766dce7011708c5b1822e4add	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiomycetes_ord_Incertae_sedis
3d3d4fd0541a08adfe35d76b087d7d82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae
b2175bba264c63c9c4374c73b494c491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	7	0	0	51	0	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae
8f079f1495f6f0dd4b5d81441c0c2f80	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified
2f7ee7dc8834434ffcb4845e50b8ce4f	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium
72db75d034a079a5cc35dde6273b5e5d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
87f1096b32967d2a4509d732d487e0c1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Hyalorbilia; s__Hyalorbilia_erythrostigma
67abdb147eb64b2d33dd9b4c20c55d24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	40	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__unidentified
6b571c5db3d853f9573fafbd409c50e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Pluteaceae; g__Pluteus
30f6f96d6da2568ae352da21b5a7e542	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	15	5	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales
60432e2d8a08358630730d23ec26ae61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae
