SampleID	observed_features
F346	12
F347	10
F348	23
F350	26
F351	16
F352	174
F353	94
F354	155
F355	100
F356	129
F357	84
F358	24
F359	18
F360	8
F361	16
F362	13
F363	11
F364	91
F365	114
F366	172
F367	186
F368	129
F369	120
